LDA,Label
-0.084,1
-0.176,0
0.51,1
1.516,1
-1.582,0
1.209,1
-0.73,0
-0.682,0
-0.439,0
3.559,1
1.132,1
-1.22,0
-1.694,0
0.712,1
0.121,0
0.462,1
0.172,0
1.548,1
2.783,1
-0.375,0
1.191,1
-1.409,0
0.652,1
-1.802,0
0.606,1
-0.066,0
0.736,1
-0.394,0
-0.497,0
-0.402,0
-0.563,0
1.045,0
1.904,1
-2.113,0
2.908,1
0.785,1
-0.093,0
-1.6,0
0.791,1
0.422,1
1.286,1
0.506,0
-1.852,0
-0.363,1
-1.488,0
2.117,1
-0.099,0
-0.486,0
0.074,1
-0.636,0
-0.688,0
0.672,0
2.015,1
0.522,1
1.216,1
0.008,0
-0.061,1
-1.339,0
-0.278,0
0.69,1
1.072,1
0.616,1
2.11,1
-2.858,0
-1.419,0
-1.936,0
-1.32,0
1.819,1
1.306,1
-0.586,0
-1.931,0
-0.585,1
-1.245,0
-1.568,0
-0.425,0
3.708,1
2.249,1
1.596,1
0.439,1
2.051,1
-1.724,0
2.223,1
-1.23,0
-1.7,0
-1.817,0
-0.804,0
-1.744,0
-0.589,0
-3.334,0
-1.529,0
-1.098,0
-1.452,0
-1.376,0
-1.752,0
0.663,1
0.539,1
-1.315,0
-1.828,1
-1.806,0
1.134,1
-0.348,0
0.236,1
-1.35,0
0.852,1
-0.089,0
0.824,0
3.128,1
3.158,1
-1.847,0
-1.512,0
0.236,1
2.729,1
-1.919,0
-0.094,0
1.932,1
-1.127,1
1.216,1
-1.063,0
0.243,1
-1.482,0
-1.165,0
0.105,0
-0.625,0
1.227,1
0.599,1
1.692,1
-0.636,1
-0.86,1
1.884,1
0.37,1
-2.089,0
-0.513,1
0.344,0
-0.564,0
-0.913,1
-0.316,1
0.575,1
-0.962,0
-1.521,0
-0.912,0
-1.71,0
-0.84,0
-1.457,0
0.301,1
-0.755,0
-0.487,0
-0.136,1
-1.18,0
-1.294,0
-0.091,1
1.035,1
-1.226,0
-1.095,0
0.086,1
-1.177,0
-0.072,1
-1.431,0
-0.932,0
-1.764,0
0.599,1
-1.196,0
-0.79,0
1.833,1
-1.986,0
1.857,1
0.381,0
0.416,1
-0.236,0
-1.112,0
0.068,1
0.74,1
3.404,1
1.353,1
-1.692,0
0.63,1
-0.685,0
-1.85,0
-1.067,0
-2.019,0
0.369,0
-1.262,0
1.534,1
1.399,1
0.959,0
3.529,1
-0.094,1
0.751,1
0.091,1
0.062,1
-0.158,0
-0.089,0
-0.198,0
-2.409,0
-2.061,0
1.92,1
1.346,1
2.466,1
-0.366,0
-1.668,0
-1.35,0
-0.05,0
-0.528,0
0.413,0
1.281,1
-0.271,0
0.227,1
-0.225,1
-1.694,0
-0.695,1
-1.308,0
-0.989,1
1.249,1
1.522,1
-1.227,0
-0.794,0
-1.52,0
-0.846,0
-0.435,0
1.595,1
3.109,1
0.945,1
-0.33,0
0.73,1
-2.558,0
-2.152,0
-2.646,0
-1.492,0
1.37,1
-0.26,0
1.327,1
-0.563,0
-2.092,0
1.036,0
-0.919,1
2.25,1
2.637,1
-1.0,0
-0.704,0
1.207,1
0.941,0
1.058,1
-0.278,0
-0.436,0
-2.055,0
-0.849,0
-0.211,0
2.458,1
1.528,1
0.103,0
-0.364,0
-0.663,0
-2.297,0
-0.392,0
1.246,1
-1.398,0
2.492,1
-2.286,0
-1.294,0
-2.358,0
2.436,1
-0.455,0
-0.501,0
0.798,1
-0.503,0
2.095,1
-0.186,0
-0.326,1
-0.714,0
-0.815,0
-1.513,0
-1.682,0
